Country,Budget_Level,Climate,Development_Level,Technology,Water,Energy,Population_Size,Religion,Economy,Infrastructure,Government,Geography,Urbanization,Natural_Resources,Income_Level,Digitalization,Healthcare,Agriculture,Education,Political_Stability,Disaster_Risk,Carbon_Emissions
Poland,High,Continental,Developed,High,Adequate,Coal/Renewable,High,Christianity,Industrial,High,Republic,Plains,High,Coal,High,High,High,Medium,High,High,Flood Risk,Medium
Portugal,High,Mediterranean,Developed,High,Adequate,Renewable,Medium,Christianity,Tourism,High,Republic,Coast,High,Cork,High,High,High,Medium,High,High,Wildfires,Medium
Qatar,Very High,Desert,Developed,Very High,Scarce,Gas,Sparse,Islam,Gas,Very High,Monarchy,Desert,Very High,Gas,Very High,Very High,Very High,Low,Very High,High,Heat Waves,Very High
Romania,High,Continental,Developed,High,Adequate,Hydro/Nuclear,Medium,Christianity,Industrial,Agriculture,Republic,Mountain/Plains,High,Natural Gas,High,High,High,Medium,High,High,Flood Risk,Medium
Russia,High,Cold,Developed,High,Adequate,Oil/Gas/Nuclear,Medium,Christianity,Energy/Industry,High,Federal Republic,Plains/Tundra,Very High,Oil/Gas,High,High,High,Medium,High,High,Wildfires,Very High
Rwanda,Medium,Tropical Highlands,Developing,Medium,Moderate,Hydro,High,Christianity,Agriculture/Services,Medium,Republic,Hills,Medium,Coffee,Lower-Middle,Medium,Medium,Medium,High,Medium,Landslides,Low
Saint Kitts and Nevis,High,Tropical,Developing,High,Adequate,Solar,Very Low,Christianity,Tourism,High,Constitutional Monarchy,Island,Medium,None,High,High,High,Low,High,High,Hurricanes,Low
Saint Lucia,High,Tropical,Developing,High,Adequate,Solar,Very Low,Christianity,Tourism,High,Constitutional Monarchy,Island,Medium,None,High,High,High,Low,High,High,Hurricanes,Low
Saint Vincent and the Grenadines,Medium,Tropical,Developing,Medium,Adequate,Solar,Very Low,Christianity,Tourism,Agriculture,Constitutional Monarchy,Island,Medium,None,Upper-Middle,Medium,Medium,Low,High,High,Volcano,Low
Samoa,Medium,Tropical,Developing,Medium,Adequate,Solar,Very Low,Christianity,Tourism,Medium,Republic,Island,Medium,None,Upper-Middle,Medium,Medium,Low,High,High,Cyclones,Low
San Marino,Very High,Temperate,Developed,Very High,Adequate,Renewable,Very Low,Christianity,Services,Very High,Republic,Hills,High,None,Very High,Very High,Very High,Low,Very High,Very High,None,Very Low
Sao Tome and Principe,Medium,Tropical,Developing,Medium,Adequate,Hydro,Very Low,Christianity,Agriculture,Medium,Republic,Island,Medium,Cocoa,Lower-Middle,Medium,Medium,Low,Medium,Medium,Flood Risk,Low
Saudi Arabia,Very High,Desert,Developed,High,Scarce,Oil,Sparse,Islam,Oil,Very High,Monarchy,Desert,High,Oil,Very High,High,High,Low,High,High,Heat Waves,Very High
Senegal,Medium,Tropical,Developing,Medium,Moderate,Solar,Medium,Islam,Agriculture,Medium,Republic,Coast,Medium,Phosphate,Lower-Middle,Medium,Medium,Medium,Medium,Medium,Drought,Low
Serbia,High,Continental,Developing,High,Adequate,Coal/Hydro,Medium,Christianity,Industrial,Agriculture,Republic,Plains,High,Copper,Upper-Middle,High,High,Medium,High,High,Flood Risk,Medium
Seychelles,Very High,Tropical,Developing,High,Adequate,Solar,Very Low,Christianity,Tourism,High,Republic,Island,Medium,Fisheries,High,High,High,Low,High,High,Sea Level Rise,Low
Sierra Leone,Low,Tropical,Least Developed,Very Low,Adequate,Hydro,Medium,Christianity/Islam,Mining,Very Low,Republic,Forest,Medium,Diamonds,Low,Very Low,Very Low,High,Low,Low,Flood Risk,Low
Singapore,Very High,Tropical,Developed,Very High,Scarce,Solar,Very High,Buddhism/Christianity,Technology/Finance,Very High,Republic,Urban,None,None,Very High,Very High,Very High,Low,Very High,Very High,Sea Level Rise,Very High
Slovakia,High,Continental,Developed,High,Adequate,Nuclear,Medium,Christianity,Industrial,High,Republic,Mountain,High,Cars,High,High,High,Medium,High,High,Flood Risk,Medium
Slovenia,Very High,Continental,Developed,Very High,Adequate,Hydro,Low,Christianity,Industrial,Very High,Republic,Mountain,High,None,High,Very High,Very High,Low,Very High,Very High,Flood Risk,Medium
Solomon Islands,Low,Tropical,Developing,Low,Adequate,Solar,Very Low,Christianity,Fisheries,Low,Constitutional Monarchy,Island,Low,Timber,Lower-Middle,Low,Low,Low,Medium,Medium,Cyclones,Low
Somalia,Low,Arid,Least Developed,Very Low,Scarce,Solar,High,Islam,Agriculture,Very Low,Federal Republic,Desert,Low,Livestock,Low,Very Low,Very Low,Very High,Very Low,Very Low,Drought,Very Low
South Africa,High,Subtropical,Developing,High,Moderate,Coal,High,Christianity,Mining/Industry,High,Republic,Plateau,High,Gold,Upper-Middle,High,High,Medium,High,High,Drought,High
South Korea,Very High,Temperate,Developed,Very High,Adequate,Nuclear,Very High,Christianity/Buddhism,Technology,Very High,Republic,Mountain,Very High,Electronics,Very High,Very High,Very High,Low,Very High,Very High,Flood Risk,Very High
South Sudan,Low,Tropical,Least Developed,Very Low,Moderate,Oil,Low,Christianity,Oil,Agriculture,Republic,Swamps,Low,Oil,Low,Very Low,Very Low,Very High,Very Low,Very Low,Flood Risk,Very Low
Spain,Very High,Mediterranean,Developed,Very High,Moderate,Renewable,High,Christianity,Tourism,Industry,Constitutional Monarchy,Plains,High,None,High,Very High,Very High,Medium,Very High,High,Wildfires,High
Sri Lanka,Medium,Tropical,Developing,Medium,Adequate,Hydro,High,Buddhism,Tourism,Agriculture,Republic,Island,High,Tea,Upper-Middle,Medium,Medium,Medium,Medium,Medium,Flood Risk,Medium
Sudan,Low,Desert,Least Developed,Very Low,Scarce,Solar,Medium,Islam,Agriculture,Very Low,Republic,Desert,Low,Gold,Low,Very Low,Very Low,Very High,Very Low,Very Low,Drought,Very Low
Suriname,Medium,Tropical,Developing,Medium,Adequate,Hydro,Very Low,Christianity,Hinduism,Mining,Republic,Forest,Low,Gold,Upper-Middle,Medium,Medium,Low,Medium,Medium,Flood Risk,Low
Sweden,Very High,Cold,Developed,Very High,Adequate,Hydro/Nuclear,High,Christianity,Technology,Very High,Constitutional Monarchy,Forest,Very High,None,Very High,Very High,Very High,Low,Very High,Very High,Wildfires,Very High
Switzerland,Very High,Alpine,Developed,Very High,Adequate,Hydro,Medium,Christianity,Finance,Very High,Federal Republic,Mountain,Very High,None,Very High,Very High,Very High,Low,Very High,Very High,Avalanche,Very High
Syria,Low,Arid,Developing,Very Low,Scarce,Oil,Low,Islam,Agriculture,Very Low,Republic,Desert,Low,Oil,Low,Very Low,Very Low,Low,Very Low,Very Low,Conflict,Very Low
Taiwan,Very High,Subtropical,Developed,Very High,Adequate,Gas/Renewable,Very High,Buddhism,Technology,Very High,Republic,Island,High,Semiconductors,Very High,Very High,Very High,Low,Very High,Very High,Earthquake,Very High
Tajikistan,Low,Mountain,Developing,Low,Adequate,Hydro,Medium,Islam,Agriculture,Low,Republic,Mountain,Low,Aluminium,Low,Low,Low,High,Low,Low,Landslides,Low
Tanzania,Low,Tropical,Developing,Low,Moderate,Hydro,Medium,Christianity/Islam,Agriculture,Low,Republic,Savanna,Medium,Gold,Lower-Middle,Low,Low,High,Medium,Low,Drought,Low
Thailand,High,Tropical,Developing,High,Adequate,Gas,High,Buddhism,Tourism/Industry,High,Constitutional Monarchy,Plains,High,Rice,Upper-Middle,High,High,Medium,High,High,Flood Risk,High
Timor-Leste,Low,Tropical,Developing,Low,Moderate,Oil,Very Low,Christianity,Oil,Low,Republic,Mountain,Low,Oil,Lower-Middle,Low,Low,Medium,Low,Low,Flood Risk,Low
Togo,Low,Tropical,Developing,Low,Moderate,Solar,Medium,Christianity/Islam,Agriculture,Low,Republic,Coast,Medium,Phosphate,Low,Low,Low,High,Low,Low,Flood Risk,Low
Tonga,Medium,Tropical,Developing,Medium,Adequate,Solar,Very Low,Christianity,Tourism,Medium,Monarchy,Island,Medium,None,Upper-Middle,Medium,Medium,Low,High,High,Volcano,Low
Trinidad and Tobago,High,Tropical,Developed,High,Adequate,Gas,Low,Christianity,Energy,High,Republic,Island,Medium,Gas,High,High,High,Low,High,High,Flood Risk,Medium
Tunisia,Medium,Mediterranean,Developing,Medium,Scarce,Solar,Medium,Islam,Tourism,Medium,Republic,Coast,High,Phosphate,Upper-Middle,Medium,Medium,Medium,High,Medium,Drought,Medium
Turkey,High,Mediterranean,Developing,High,Moderate,Gas/Hydro,High,Islam,Industrial,Tourism,Republic,Mountain,High,None,Upper-Middle,High,High,Medium,High,High,Earthquake,High
Turkmenistan,Medium,Desert,Developing,Medium,Scarce,Gas,Low,Islam,Gas,Medium,Republic,Desert,Low,Gas,Upper-Middle,Medium,Medium,Low,Medium,Medium,Drought,High
Tuvalu,Low,Tropical,Developing,Low,Scarce,Solar,Very Low,Christianity,Fisheries,Low,Constitutional Monarchy,Island,Low,None,Lower-Middle,Low,Low,Low,Medium,Medium,Sea Level Rise,Very Low
Uganda,Low,Tropical,Developing,Low,Moderate,Hydro,Medium,Christianity,Agriculture,Low,Republic,Lakes,Medium,Coffee,Low,Low,Low,High,Low,Low,Drought,Low
Ukraine,Medium,Continental,Developing,Medium,Adequate,Nuclear,Medium,Christianity,Agriculture,Industry,Republic,Plains,High,Grain,Upper-Middle,Medium,Medium,Medium,Medium,Medium,Conflict,Medium
United Arab Emirates,Very High,Desert,Developed,Very High,Scarce,Oil/Solar,Sparse,Islam,Services,Very High,Federal Monarchy,Desert,Very High,Oil,Very High,Very High,Very High,Low,Very High,Very High,Heat Waves,Very High
United Kingdom,Very High,Temperate,Developed,Very High,Adequate,Wind/Nuclear,Very High,Christianity,Services,Very High,Constitutional Monarchy,Island,Very High,None,Very High,Very High,Very High,Low,Very High,Very High,Flood Risk,Very High
United States,Very High,Varied,Developed,Very High,Adequate,Gas/Nuclear/Renewable,Very High,Christianity,Diversified,Very High,Federal Republic,Large,Very High,Technology,Very High,Very High,Very High,Low,Very High,Very High,Wildfires,Very High
Uruguay,Very High,Temperate,Developed,High,Adequate,Renewable,Low,Christianity,Agriculture,High,Republic,Plains,High,Beef,High,High,High,Low,High,High,Flood Risk,Medium
Uzbekistan,Medium,Continental,Developing,Medium,Scarce,Gas,Medium,Islam,Agriculture,Medium,Republic,Desert,Medium,Gas,Lower-Middle,Medium,Medium,Medium,Medium,Medium,Drought,Medium
Vanuatu,Low,Tropical,Developing,Low,Adequate,Solar,Very Low,Christianity,Tourism,Low,Republic,Island,Low,None,Lower-Middle,Low,Low,Low,Medium,Medium,Cyclones,Low
Vatican City,Very High,Temperate,Developed,Very High,Adequate,None,Very Low,Christianity,Services,Very High,Monarchy,Urban,None,None,Very High,Very High,Very High,Low,Very High,Very High,None,Very Low
Venezuela,Medium,Tropical,Developing,Medium,Moderate,Oil,Medium,Christianity,Oil,Medium,Republic,Coast,Medium,Oil,Lower-Middle,Medium,Medium,Medium,Medium,Low,Economic Crisis,Medium
Vietnam,Medium,Tropical,Developing,High,Adequate,Hydro,High,Buddhism,Manufacturing,High,Republic,Coast,High,Rice,Upper-Middle,High,High,Medium,High,High,Flood Risk,Medium
Yemen,Low,Desert,Least Developed,Very Low,Scarce,Solar,Medium,Islam,Agriculture,Very Low,Republic,Mountain,Low,None,Low,Very Low,Very Low,Very High,Very Low,Very Low,Drought,Very Low
Zambia,Low,Tropical,Developing,Low,Moderate,Hydro,Medium,Christianity,Mining,Low,Republic,Plateau,Medium,Copper,Lower-Middle,Low,Low,High,Low,Low,Drought,Low
Zimbabwe,Low,Tropical,Developing,Low,Moderate,Hydro,Medium,Christianity,Agriculture/Mining,Low,Republic,Plateau,Medium,Gold,Lower-Middle,Low,Low,High,Low,Low,Drought,Low
