Country_EN,Country_AR,Problem_EN,Problem_AR,Solution_EN,Solution_AR,Success_Rate,Implementation_Years,Sector_EN,Sector_AR
Australia,أستراليا,Housing Crisis,أزمة السكن,Affordable Housing Development Program,برنامج تطوير الإسكان الميسر,91,10,Housing,الإسكان
Norway,النرويج,Public Debt,الدين العام,Sustainable Fiscal Management Strategy,استراتيجية الإدارة المالية المستدامة,94,9,Economy,الاقتصاد
South Korea,كوريا الجنوبية,Data Privacy,خصوصية البيانات,National Data Protection Framework,الإطار الوطني لحماية البيانات,96,6,Technology,التكنولوجيا
Estonia,إستونيا,Misinformation,التضليل الإعلامي,National Digital Literacy Program,البرنامج الوطني لمحو الأمية الرقمية,94,5,Technology,التكنولوجيا
Denmark,الدنمارك,Energy Transition,الانتقال الطاقوي,Green Energy Transition Strategy,استراتيجية التحول إلى الطاقة الخضراء,98,12,Energy,الطاقة
Switzerland,سويسرا,Banking Security,أمن القطاع المصرفي,Advanced Financial Security Framework,إطار متقدم لأمن القطاع المالي,97,8,Finance,المالية
Brazil,البرازيل,Illegal Mining,التعدين غير القانوني,Satellite-Based Illegal Mining Monitoring,مراقبة التعدين غير القانوني بالأقمار الصناعية,94,9,Environment,البيئة
Japan,اليابان,Infrastructure Failure,فشل البنية التحتية,Smart Infrastructure Rehabilitation and Predictive Maintenance,إعادة تأهيل البنية التحتية الذكية والصيانة التنبؤية,94,8,Infrastructure,البنية التحتية
Germany,ألمانيا,Road Safety,السلامة المرورية,Vision Zero Road Safety Strategy,استراتيجية الرؤية صفر للسلامة المرورية,96,10,Transportation,النقل
Netherlands,هولندا,Traffic Congestion,الازدحام المروري,Integrated Smart Mobility System,نظام التنقل الذكي المتكامل,93,7,Transportation,النقل
Singapore,سنغافورة,Bridge Safety,سلامة الجسور,AI Bridge Structural Monitoring,المراقبة الذكية للجسور بالذكاء الاصطناعي,95,5,Infrastructure,البنية التحتية
South Korea,كوريا الجنوبية,Railway Infrastructure,البنية التحتية للسكك الحديدية,High-Speed Rail Modernization,تحديث البنية التحتية للسكك الحديدية,95,9,Transportation,النقل
France,فرنسا,Public Transport,النقل العمومي,Integrated Public Transport Network,شبكة النقل العمومي المتكاملة,94,8,Transportation,النقل
Switzerland,سويسرا,Tunnel Safety,سلامة الأنفاق,Smart Tunnel Monitoring System,نظام المراقبة الذكية للأنفاق,96,6,Infrastructure,البنية التحتية
Norway,النرويج,Road Infrastructure,البنية التحتية للطرق,Resilient Road Infrastructure Program,برنامج الطرق المقاومة للمخاطر,94,8,Transportation,النقل
Canada,كندا,Bridge Collapse,انهيار الجسور,Bridge Inspection and Reinforcement Program,برنامج فحص وتعزيز الجسور,95,6,Infrastructure,البنية التحتية
United Kingdom,المملكة المتحدة,Aging Infrastructure,تقادم البنية التحتية,National Infrastructure Renewal Program,البرنامج الوطني لتجديد البنية التحتية,93,10,Infrastructure,البنية التحتية
Australia,أستراليا,Airport Infrastructure,البنية التحتية للمطارات,Smart Airport Modernization,تحديث المطارات الذكية,94,7,Transportation,النقل
China,الصين,Port Infrastructure,البنية التحتية للموانئ,Smart Port Digitalization,رقمنة الموانئ الذكية,95,6,Transportation,النقل
Spain,إسبانيا,Water Infrastructure,البنية التحتية للمياه,National Water Infrastructure Upgrade,تحديث البنية التحتية للمياه,92,9,Water,المياه
Finland,فنلندا,Digital Infrastructure,البنية التحتية الرقمية,National Digital Infrastructure Expansion,توسيع البنية التحتية الرقمية,96,5,Digital,الرقمنة
United States,الولايات المتحدة,Power Grid Failure,انهيار شبكة الكهرباء,Smart Grid Modernization,تحديث الشبكات الكهربائية الذكية,94,8,Energy,الطاقة
Italy,إيطاليا,Historic Infrastructure Preservation,حماية البنية التحتية التاريخية,Infrastructure Restoration and Monitoring,ترميم ومراقبة البنية التحتية,91,8,Infrastructure,البنية التحتية
Denmark,الدنمارك,Cycling Infrastructure,البنية التحتية للدراجات,National Cycling Infrastructure Plan,الخطة الوطنية للبنية التحتية للدراجات,95,6,Transportation,النقل
United Arab Emirates,الإمارات العربية المتحدة,Urban Infrastructure,البنية التحتية الحضرية,Smart City Infrastructure Program,برنامج البنية التحتية للمدن الذكية,95,7,Infrastructure,البنية التحتية
Sweden,السويد,Winter Road Maintenance,صيانة الطرق الشتوية,Intelligent Winter Road Management,الإدارة الذكية للطرق الشتوية,94,5,Transportation,النقل
Austria,النمسا,Landslide Infrastructure Protection,حماية البنية التحتية من الانهيارات الأرضية,Infrastructure Risk Protection System,نظام حماية البنية التحتية من المخاطر,93,7,Infrastructure,البنية التحتية
Germany,ألمانيا,Critical Infrastructure Failure,فشل البنية التحتية الحرجة,National Critical Infrastructure Protection,حماية البنية التحتية الحرجة,95,8,Infrastructure,البنية التحتية
Singapore,سنغافورة,Urban Infrastructure Failure,فشل البنية التحتية الحضرية,Integrated Smart Infrastructure Program,برنامج البنية التحتية الذكية المتكاملة,94,7,Infrastructure,البنية التحتية
Netherlands,هولندا,Flood Infrastructure Damage,أضرار البنية التحتية بسبب الفيضانات,Climate-Resilient Infrastructure,بنية تحتية مقاومة للمناخ,95,10,Infrastructure,البنية التحتية
South Korea,كوريا الجنوبية,Transport Infrastructure Failure,فشل بنية النقل التحتية,National Transport Modernization Program,برنامج تحديث النقل الوطني,94,8,Transportation,النقل
Canada,كندا,Water Infrastructure Failure,فشل البنية التحتية للمياه,Smart Water Infrastructure Renewal,تجديد البنية التحتية الذكية للمياه,93,9,Water,المياه
United States,الولايات المتحدة,Power Infrastructure Failure,فشل البنية التحتية للطاقة,Smart Grid Recovery Program,برنامج استعادة الشبكات الذكية,94,8,Energy,الطاقة
France,فرنسا,Rail Infrastructure Failure,فشل البنية التحتية للسكك الحديدية,Rail Infrastructure Renewal,تجديد البنية التحتية للسكك الحديدية,94,8,Transportation,النقل
Australia,أستراليا,Airport Infrastructure Failure,فشل البنية التحتية للمطارات,Airport Modernization Strategy,استراتيجية تحديث المطارات,93,7,Transportation,النقل
China,الصين,Logistics Infrastructure Failure,فشل البنية التحتية اللوجستية,National Logistics Modernization,تحديث البنية التحتية اللوجستية,95,7,Logistics,اللوجستيات
Japan,اليابان,Infrastructure Failure,فشل البنية التحتية,National Infrastructure Modernization Program,برنامج تحديث البنية التحتية الوطنية,92,12,Infrastructure,البنية التحتية
Netherlands,هولندا,Bridge Collapse,انهيار الجسور,Smart Bridge Monitoring System,نظام ذكي لمراقبة الجسور,94,6,Infrastructure,البنية التحتية
Singapore,سنغافورة,Railway Failure,تعطل شبكة السكك الحديدية,Predictive Rail Maintenance,الصيانة التنبؤية للسكك الحديدية,95,5,Transport,النقل
Germany,ألمانيا,Road Safety,سلامة الطرق,Vision Zero Road Safety Strategy,استراتيجية صفر وفيات على الطرق,96,8,Transport,النقل
Japan,اليابان,Public Transport Congestion,ازدحام النقل العمومي,Integrated Smart Mobility System,نظام التنقل الذكي المتكامل,93,7,Transport,النقل
France,فرنسا,Bridge Maintenance,تدهور صيانة الجسور,Digital Infrastructure Inspection,الفحص الرقمي للبنية التحتية,92,6,Infrastructure,البنية التحتية
Canada,كندا,Power Grid Failure,انهيار شبكة الكهرباء,National Smart Grid Upgrade,تحديث الشبكة الكهربائية الذكية,95,10,Energy,الطاقة
South Korea,كوريا الجنوبية,Internet Infrastructure Failure,تعطل البنية التحتية الرقمية,National Network Resilience Program,برنامج مرونة الشبكات الوطنية,94,5,Digital,الرقمي
Australia,أستراليا,Port Congestion,ازدحام الموانئ,Smart Port Logistics,الخدمات اللوجستية الذكية للموانئ,91,6,Logistics,اللوجستيات
United Arab Emirates,الإمارات العربية المتحدة,Airport Congestion,ازدحام المطارات,AI Airport Flow Management,إدارة تدفق المطارات بالذكاء الاصطناعي,92,5,Aviation,الطيران
Norway,النرويج,Tunnel Safety,سلامة الأنفاق,Intelligent Tunnel Safety System,نظام ذكي لسلامة الأنفاق,94,7,Transport,النقل
Finland,فنلندا,Critical Infrastructure Protection,حماية البنية التحتية الحيوية,Critical Infrastructure Resilience Strategy,استراتيجية مرونة البنية التحتية الحيوية,95,8,Security,الأمن
Switzerland,سويسرا,Landslide Damage to Infrastructure,أضرار الانهيارات الأرضية للبنية التحتية,Resilient Mountain Infrastructure,بنية تحتية جبلية مرنة,93,9,Infrastructure,البنية التحتية
Denmark,الدنمارك,Cycling Infrastructure,ضعف البنية التحتية للدراجات,National Cycling Network Expansion,توسيع شبكة الدراجات الوطنية,91,6,Transport,النقل
Sweden,السويد,Winter Road Management,إدارة الطرق الشتوية,Smart Winter Road Management,الإدارة الذكية للطرق الشتوية,93,5,Transport,النقل
United Kingdom,المملكة المتحدة,Aging Infrastructure,تقادم البنية التحتية,National Infrastructure Renewal Plan,الخطة الوطنية لتجديد البنية التحتية,94,12,Infrastructure,البنية التحتية
China,الصين,Urban Infrastructure Pressure,ضغط البنية التحتية الحضرية,Integrated Urban Infrastructure Expansion,التوسع المتكامل للبنية التحتية الحضرية,92,10,Urban Development,التنمية الحضرية
Spain,إسبانيا,Water Infrastructure Failure,فشل البنية التحتية للمياه,Smart Water Infrastructure Program,برنامج البنية التحتية الذكية للمياه,93,8,Water,المياه
Italy,إيطاليا,Historic Infrastructure Preservation,تدهور البنية التحتية التاريخية,Infrastructure Restoration Initiative,مبادرة ترميم البنية التحتية,91,9,Infrastructure,البنية التحتية
United States,الولايات المتحدة,Critical Transportation Failure,فشل منظومة النقل الحيوية,National Transportation Resilience Program,برنامج مرونة النقل الوطني,94,9,Transport,النقل
Japan,اليابان,Infrastructure Failure,فشل البنية التحتية,Smart Infrastructure Rehabilitation,إعادة تأهيل البنية التحتية الذكية,91,8,Infrastructure,البنية التحتية
Singapore,سنغافورة,Bridge Collapse,انهيار الجسور,Bridge Structural Monitoring System,نظام المراقبة الذكية للجسور,95,4,Infrastructure,البنية التحتية
Netherlands,هولندا,Railway Failure,تعطل السكك الحديدية,Smart Railway Modernization,تحديث السكك الحديدية الذكي,93,6,Transport,النقل
South Korea,كوريا الجنوبية,Metro Congestion,ازدحام المترو,Integrated Smart Public Transport,النقل العمومي الذكي المتكامل,90,5,Transport,النقل
Germany,ألمانيا,Road Safety Crisis,أزمة السلامة المرورية,Vision Zero Road Safety Strategy,استراتيجية صفر وفيات مرورية,94,7,Transport,النقل
Norway,النرويج,Tunnel Safety,سلامة الأنفاق,Automated Tunnel Monitoring,المراقبة الآلية للأنفاق,92,5,Infrastructure,البنية التحتية
United Kingdom,المملكة المتحدة,Airport Congestion,ازدحام المطارات,Smart Airport Operations,تشغيل المطارات الذكي,91,5,Aviation,الطيران
Canada,كندا,Power Grid Failure,انهيار شبكة الكهرباء,National Smart Grid Upgrade,تحديث الشبكة الكهربائية الذكية,95,8,Energy,الطاقة
Denmark,الدنمارك,Port Congestion,ازدحام الموانئ,AI Smart Port Management,إدارة الموانئ بالذكاء الاصطناعي,92,4,Logistics,اللوجستيات
Australia,أستراليا,Supply Shortage,نقص الإمدادات,Critical Supply Chain Resilience,تعزيز مرونة سلاسل الإمداد,91,6,Logistics,اللوجستيات
Sweden,السويد,Emergency Response Delay,بطء الاستجابة للطوارئ,Integrated Emergency Response System,نظام الاستجابة المتكامل للطوارئ,94,4,Emergency,الطوارئ
Finland,فنلندا,Communication Network Failure,فشل شبكات الاتصالات,Resilient National Communication Network,شبكة اتصالات وطنية مرنة,93,5,Technology,التكنولوجيا
Estonia,إستونيا,Digital Infrastructure Failure,فشل البنية التحتية الرقمية,National Digital Infrastructure Upgrade,تحديث البنية التحتية الرقمية الوطنية,95,5,Technology,التكنولوجيا
France,فرنسا,Public Transport Disruption,تعطل النقل العمومي,Integrated Mobility Recovery Plan,خطة استعادة النقل المتكاملة,91,4,Transport,النقل
Switzerland,سويسرا,Rail Accident Risk,مخاطر حوادث السكك الحديدية,AI Railway Safety Management,إدارة سلامة السكك الحديدية بالذكاء الاصطناعي,94,5,Transport,النقل
New Zealand,نيوزيلندا,Landslide Infrastructure Damage,أضرار البنية التحتية بسبب الانهيارات الأرضية,Resilient Mountain Infrastructure,بنية تحتية جبلية مرنة,92,7,Infrastructure,البنية التحتية
Italy,إيطاليا,Historic Infrastructure Decay,تدهور البنية التحتية التاريخية,Infrastructure Preservation Program,برنامج الحفاظ على البنية التحتية,90,8,Infrastructure,البنية التحتية
Spain,إسبانيا,Water Distribution Failure,فشل شبكات توزيع المياه,Smart Water Distribution Network,شبكات توزيع مياه ذكية,92,6,Water,المياه
United Arab Emirates,الإمارات العربية المتحدة,Urban Infrastructure Overload,الضغط على البنية التحتية الحضرية,Smart Urban Expansion,التوسع الحضري الذكي,93,7,Urban Development,التنمية الحضرية
China,الصين,Industrial Infrastructure Failure,فشل البنية التحتية الصناعية,Industrial Infrastructure Modernization,تحديث البنية التحتية الصناعية,94,8,Industry,الصناعة
Canada,كندا,Migration Crisis,أزمة الهجرة,Comprehensive Migration Management Program,برنامج الإدارة الشاملة للهجرة,92,6,Migration,الهجرة
Germany,ألمانيا,Illegal Migration,الهجرة غير الشرعية,Integrated Border and Migration Strategy,استراتيجية متكاملة لإدارة الحدود والهجرة,90,5,Migration,الهجرة
Turkey,تركيا,Refugee Integration,دمج اللاجئين,National Refugee Integration Framework,الإطار الوطني لدمج اللاجئين,91,8,Migration,الهجرة
Sweden,السويد,Asylum System Overload,ضغط على نظام اللجوء,Digital Asylum Processing System,نظام رقمي لمعالجة طلبات اللجوء,89,4,Migration,الهجرة
Italy,إيطاليا,Irregular Migration,الهجرة غير النظامية,Mediterranean Migration Coordination Program,برنامج تنسيق الهجرة في البحر المتوسط,90,6,Migration,الهجرة
Spain,إسبانيا,Border Migration Pressure,الضغط الحدودي بسبب الهجرة,Smart Border Migration Management,الإدارة الذكية للهجرة الحدودية,91,5,Migration,الهجرة
Australia,أستراليا,Skilled Labor Shortage,نقص العمالة الماهرة,National Skilled Migration Program,البرنامج الوطني للهجرة الماهرة,94,5,Labor,العمل
Japan,اليابان,Aging Workforce,شيخوخة القوى العاملة,Targeted Skilled Immigration Policy,سياسة الهجرة الموجهة للعمالة الماهرة,93,7,Labor,العمل
United States,الولايات المتحدة,Mass Migration,الهجرة الجماعية,Comprehensive Immigration Reform,إصلاح شامل لنظام الهجرة,90,8,Migration,الهجرة
Jordan,الأردن,Refugee Population Pressure,الضغط الناتج عن أعداد اللاجئين,Sustainable Refugee Support Strategy,استراتيجية مستدامة لدعم اللاجئين,91,7,Humanitarian,العمل الإنساني
Greece,اليونان,Migration Reception Crisis,أزمة استقبال المهاجرين,Integrated Reception and Relocation System,نظام متكامل للاستقبال وإعادة التوطين,89,5,Migration,الهجرة
France,فرنسا,Migrant Social Integration,اندماج المهاجرين اجتماعياً,Inclusive Social Integration Program,برنامج الاندماج الاجتماعي الشامل,92,6,Social Affairs,الشؤون الاجتماعية
